date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:37	2865/2865	---M-Z	200	added ('OK')	text/html	etag:%22b31-60cea9eef342a-gzip%22	https://www.aiseesoft.com/online-bg-remover/editor/170758126965c79f55830a33.87822409	C:/Users/Sanvi%20Sardana/Downloads/see/www.aiseesoft.com/online-bg-remover/editor/170758126965c79f55830a33.html	(from )
21:40:38	263/263	---M--	200	added ('OK')	text/plain	etag:%22107-588be08c4ec07%22	https://www.aiseesoft.com/robots.txt		(from )
21:40:38	3198268/3198268	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c8874215de16e8e70f733e72b495712%22	https://sdk.amazonaws.com/js/aws-sdk-2.1413.0.min.js	C:/Users/Sanvi%20Sardana/Downloads/see/sdk.amazonaws.com/js/aws-sdk-2.1413.0.min.js	(from https://www.aiseesoft.com/online-bg-remover/editor/170758126965c79f55830a33.87822409)
21:40:40	32038/32038	---M--	200	added ('OK')	image/x-icon	etag:%227d26-60cea9ef425c8%22	https://www.aiseesoft.com/online-bg-remover/editor/favicon.ico	C:/Users/Sanvi%20Sardana/Downloads/see/www.aiseesoft.com/online-bg-remover/editor/favicon.ico	(from https://www.aiseesoft.com/online-bg-remover/editor/170758126965c79f55830a33.87822409)
21:40:43	1122200/1122200	---M--	200	added ('OK')	application/javascript	etag:%22111f98-60cea9f613f4b%22	https://www.aiseesoft.com/online-bg-remover/editor/js/chunk-vendors.5176d063.js	C:/Users/Sanvi%20Sardana/Downloads/see/www.aiseesoft.com/online-bg-remover/editor/js/chunk-vendors.5176d063.js	(from https://www.aiseesoft.com/online-bg-remover/editor/170758126965c79f55830a33.87822409)
21:40:44	210910/210910	---M--	200	added ('OK')	text/css	etag:%22337de-60cea9edfd698%22	https://www.aiseesoft.com/online-bg-remover/editor/css/chunk-vendors.631b9ee8.css	C:/Users/Sanvi%20Sardana/Downloads/see/www.aiseesoft.com/online-bg-remover/editor/css/chunk-vendors.631b9ee8.css	(from https://www.aiseesoft.com/online-bg-remover/editor/170758126965c79f55830a33.87822409)
21:40:45	111822/111822	---M--	200	added ('OK')	text/css	etag:%221b4ce-60cea9edf9430%22	https://www.aiseesoft.com/online-bg-remover/editor/css/app.cd56ffee.css	C:/Users/Sanvi%20Sardana/Downloads/see/www.aiseesoft.com/online-bg-remover/editor/css/app.cd56ffee.css	(from https://www.aiseesoft.com/online-bg-remover/editor/170758126965c79f55830a33.87822409)
21:40:45	1484/1484	---M--	200	added ('OK')	application/javascript	etag:%225cc-60cea9f528d99%22	https://www.aiseesoft.com/online-bg-remover/editor/static/js/url-setting.js	C:/Users/Sanvi%20Sardana/Downloads/see/www.aiseesoft.com/online-bg-remover/editor/static/js/url-setting.js	(from https://www.aiseesoft.com/online-bg-remover/editor/170758126965c79f55830a33.87822409)
21:40:48	1386787/1386787	---M--	200	added ('OK')	application/javascript	etag:%22152923-60cea9f63b81a%22	https://www.aiseesoft.com/online-bg-remover/editor/js/app.282397be.js	C:/Users/Sanvi%20Sardana/Downloads/see/www.aiseesoft.com/online-bg-remover/editor/js/app.282397be.js	(from https://www.aiseesoft.com/online-bg-remover/editor/170758126965c79f55830a33.87822409)
21:40:49	28200/28200	---M--	200	added ('OK')	font/woff	etag:%226e28-60cea9edb0052%22	https://www.aiseesoft.com/online-bg-remover/editor/fonts/element-icons.ff18efd1.woff	C:/Users/Sanvi%20Sardana/Downloads/see/www.aiseesoft.com/online-bg-remover/editor/fonts/element-icons.ff18efd1.woff	(from https://www.aiseesoft.com/online-bg-remover/editor/css/chunk-vendors.631b9ee8.css)
